ENA_Run	COG_ID
ERR5168983	CAMB-75A80
ERR5168921	CAMB-75A9F
ERR5168933	CAMB-75ABD
ERR5169008	CAMB-75ACC
ERR5169143	CAMB-75ADB
ERR5169000	CAMB-75AEA
ERR5169147	CAMB-75AF9
ERR5169150	CAMB-75B14
ERR5168953	CAMB-75B23
ERR5168941	CAMB-75B32
ERR5168979	CAMB-75B41
ERR5168964	CAMB-75B50
ERR5168993	CAMB-75B6F
ERR5168967	CAMB-75B7E
ERR5169001	CAMB-75B8D
ERR5169178	CAMB-75B9C
ERR5169010	CAMB-75BAB
ERR5169175	CAMB-75BBA
ERR5169007	CAMB-75BC9
ERR5169168	CAMB-75BD8
ERR5169012	CAMB-75BE7
ERR5169158	CAMB-75BF6
ERR5169009	CAMB-75C02
ERR5169154	CAMB-75C11
ERR5168954	CAMB-75C20
ERR5168945	CAMB-75C3F
ERR5168996	CAMB-75C4E
ERR5168962	CAMB-75C5D
ERR5169013	CAMB-75C6C
ERR5169004	CAMB-75C7B
ERR5169002	CAMB-75C8A
ERR5169016	CAMB-75CB7
ERR5168997	CAMB-75CC6
ERR5169172	CAMB-75CD5
ERR5168994	CAMB-75CE4
ERR5169167	CAMB-75CF3
ERR5168990	CAMB-75D0F
ERR5169066	CAMB-75D1E
ERR5169031	CAMB-75D2D
ERR5169064	CAMB-75D3C
ERR5169026	CAMB-75D4B
ERR5169059	CAMB-75D5A
ERR5169024	CAMB-75D69
ERR5168882	CAMB-75D78
ERR5169020	CAMB-75D87
ERR5168900	CAMB-75D96
ERR5168867	CAMB-75DA5
ERR5169102	CAMB-75DB4
ERR5168873	CAMB-75DC3
ERR5169106	CAMB-75DD2
ERR5169079	CAMB-75DE1
ERR5169110	CAMB-75DF0
ERR5169075	CAMB-75E0C
ERR5169112	CAMB-75E1B
ERR5169043	CAMB-75E2A
ERR5169097	CAMB-75E39
ERR5169039	CAMB-75E48
ERR5169095	CAMB-75E57
ERR5169037	CAMB-75E66
ERR5168885	CAMB-75E75
ERR5168905	CAMB-75E93
ERR5168876	CAMB-75EA2
ERR5168924	CAMB-75EB1
ERR5169130	CAMB-75EDF
ERR5169089	CAMB-75EEE
ERR5169116	CAMB-75EFD
ERR5169070	CAMB-75F27
ERR5169122	CAMB-75F36
ERR5169056	CAMB-75F45
ERR5169126	CAMB-75F54
